fips,pop_density
8.089000000000000000e+03,1.490000000000000036e+01
8.091000000000000000e+03,8.199999999999999289e+00
8.093000000000000000e+03,7.400000000000000355e+00
8.095000000000000000e+03,6.500000000000000000e+00
8.097000000000000000e+03,1.769999999999999929e+01
8.099000000000000000e+03,7.700000000000000178e+00
8.101000000000000000e+03,6.670000000000000284e+01
8.103000000000000000e+03,2.100000000000000089e+00
8.105000000000000000e+03,1.309999999999999964e+01
8.107000000000000000e+03,1.000000000000000000e+01
8.109000000000000000e+03,1.899999999999999911e+00
8.111000000000000000e+03,1.800000000000000044e+00
8.113000000000000000e+03,5.700000000000000178e+00
8.115000000000000000e+03,4.299999999999999822e+00
8.117000000000000000e+03,4.600000000000000000e+01
8.119000000000000000e+03,4.189999999999999858e+01
8.121000000000000000e+03,1.899999999999999911e+00
8.123000000000000000e+03,6.339999999999999858e+01
8.125000000000000000e+03,4.200000000000000178e+00
9.001000000000000000e+03,1.467200000000000045e+03
9.003000000000000000e+03,1.216200000000000045e+03
9.005000000000000000e+03,2.063000000000000114e+02
9.007000000000000000e+03,4.486000000000000227e+02
9.009000000000000000e+03,1.426700000000000045e+03
9.011000000000000000e+03,4.121999999999999886e+02
9.013000000000000000e+03,3.721999999999999886e+02
9.015000000000000000e+03,2.309000000000000057e+02
1.000100000000000000e+04,2.768999999999999773e+02
1.000300000000000000e+04,1.263200000000000045e+03
1.000500000000000000e+04,2.105999999999999943e+02
1.100100000000000000e+04,9.856600000000000364e+03
1.200100000000000000e+04,2.826999999999999886e+02
1.200300000000000000e+04,4.629999999999999716e+01
1.200500000000000000e+04,2.225999999999999943e+02
1.200700000000000000e+04,9.700000000000000000e+01
1.200900000000000000e+04,5.350000000000000000e+02
1.201100000000000000e+04,1.444900000000000091e+03
1.201300000000000000e+04,2.580000000000000071e+01
1.201500000000000000e+04,2.351999999999999886e+02
1.201700000000000000e+04,2.428000000000000114e+02
1.201900000000000000e+04,3.158000000000000114e+02
1.202100000000000000e+04,1.609000000000000057e+02
1.202300000000000000e+04,8.470000000000000284e+01
1.202700000000000000e+04,5.470000000000000284e+01
1.202900000000000000e+04,2.330000000000000071e+01
1.203100000000000000e+04,1.133900000000000091e+03
1.203300000000000000e+04,4.533999999999999773e+02
1.203500000000000000e+04,1.970999999999999943e+02
1.203700000000000000e+04,2.160000000000000142e+01
1.203900000000000000e+04,8.979999999999999716e+01
